,Unnamed: 0,id,date,tweet,label,fav
78,90,90,2/22/2016 19:52,b RT Deadpool 2016 Opening Scene,nuetral,0
80,92,92,2/22/2016 19:51,b RT Deadpool 2016 Opening Scene,nuetral,0
85,97,97,2/22/2016 19:48,b RT Deadpool 2016 Opening Scene,nuetral,0
86,98,98,2/22/2016 19:47,b RT Deadpool 2016 Opening Scene,nuetral,0
90,102,102,2/22/2016 19:32,b RT Deadpool 2016 Opening Scene,nuetral,0
92,104,104,2/22/2016 19:31,b RT Deadpool 2016 Opening Scene,nuetral,0
97,109,109,2/22/2016 19:26,b RT Deadpool 2016 Opening Scene,nuetral,0
100,112,112,2/22/2016 19:23,b RT Deadpool 2016 Opening Scene,nuetral,0
103,115,115,2/22/2016 19:21,b RT Deadpool 2016 Opening Scene,nuetral,0
104,116,116,2/22/2016 19:19,b RT Deadpool 2016 Opening Scene,nuetral,0
105,117,117,2/22/2016 19:18,b RT Deadpool 2016 Opening Scene,nuetral,0
107,119,119,2/22/2016 19:13,b RT Deadpool 2016 Opening Scene,nuetral,0
109,121,121,2/22/2016 19:11,b RT Deadpool 2016 Opening Scene,nuetral,0
110,122,122,2/22/2016 19:11,b RT Deadpool 2016 Opening Scene,nuetral,0
111,123,123,2/22/2016 19:09,b RT Deadpool 2016 Opening Scene,nuetral,0
112,124,124,2/22/2016 19:08,b RT Deadpool 2016 Opening Scene,nuetral,0
113,125,125,2/22/2016 19:00,b RT Deadpool 2016 Opening Scene,nuetral,0
115,127,127,2/22/2016 18:59,b RT Deadpool 2016 Opening Scene,nuetral,0
120,132,132,2/22/2016 18:47,b RT Deadpool 2016 Opening Scene,nuetral,0
395,407,407,2/22/2016 8:35,b RT Deadpool 2016 Opening Scene,nuetral,0
397,409,409,2/22/2016 8:35,b RT Deadpool 2016 Opening Scene,nuetral,0
398,410,410,2/22/2016 8:34,b RT Deadpool 2016 Opening Scene,nuetral,0
399,411,411,2/22/2016 8:32,b RT Deadpool 2016 Opening Scene,nuetral,0
403,415,415,2/22/2016 8:06,b RT Deadpool 2016 Opening Scene,nuetral,0
406,418,418,2/22/2016 7:56,b RT Deadpool 2016 Opening Scene,nuetral,0
408,420,420,2/22/2016 7:49,b RT Deadpool 2016 Opening Scene,nuetral,0
409,421,421,2/22/2016 7:46,b RT Deadpool 2016 Opening Scene,nuetral,0
412,424,424,2/22/2016 7:41,b RT Deadpool 2016 Opening Scene,nuetral,0
413,425,425,2/22/2016 7:38,b RT Deadpool 2016 Opening Scene,nuetral,0
415,427,427,2/22/2016 7:36,b RT Deadpool 2016 Opening Scene,nuetral,0
427,439,439,2/22/2016 6:58,b RT Deadpool 2016 Opening Scene,nuetral,0
428,440,440,2/22/2016 6:58,b RT Deadpool 2016 Opening Scene,nuetral,0
432,444,444,2/22/2016 6:44,b RT Deadpool 2016 Opening Scene,nuetral,0
164,176,176,2/22/2016 17:09,b RT Deadpool is already available for pre order at Amazon AND it s 43 off Done xe2 x80 xa6,nuetral,0
166,178,178,2/22/2016 17:08,b RT Deadpool is already available for pre order at Amazon AND it s 43 off Done xe2 x80 xa6,nuetral,0
167,179,179,2/22/2016 17:08,b RT Deadpool is already available for pre order at Amazon AND it s 43 off Done xe2 x80 xa6,nuetral,0
176,188,188,2/22/2016 17:03,b RT Deadpool is already available for pre order at Amazon AND it s 43 off Done xe2 x80 xa6,nuetral,0
114,126,126,2/22/2016 18:59,b RT DEADPOOL T SHIRT,nuetral,0
235,247,247,2/22/2016 15:25,b RT Good morning nerds Theres a new episode up of for you Remember to like review and share xe2 x80 xa6,nuetral,0
212,224,224,2/22/2016 16:12,b RT Guess what time it is New Episode Time,nuetral,0
135,147,147,2/22/2016 17:59,b RT Have you seen yet If so check out what our hosts thought,nuetral,0
466,478,478,2/22/2016 4:16,b RT Have you seen yet If so check out what our hosts thought,nuetral,0
524,536,536,2/22/2016 2:51,b RT Have you seen yet If so check out what our hosts thought,nuetral,0
525,537,537,2/22/2016 2:49,b RT Have you seen yet If so check out what our hosts thought,nuetral,0
538,550,550,2/22/2016 2:07,b RT Have you seen yet If so check out what our hosts thought,nuetral,0
572,584,584,2/22/2016 0:24,b RT Have you seen yet If so check out what our hosts thought,nuetral,0
66,78,78,2/22/2016 20:24,b RT Hi I looked well Amazing hahahah and you are a good actor xf0 x9f x98 x89 xf0 x9f x92 x99 xf0 x9f x92 x99 xf0 x9f x92 x99,nuetral,0
306,318,318,2/22/2016 13:48,b RT Honestly fans WE ONLY NEED 1 700 signatures here htt xe2 x80 xa6,nuetral,0
101,113,113,2/22/2016 19:23,b RT How Is Filmed,nuetral,0
106,118,118,2/22/2016 19:15,b RT How Is Filmed,nuetral,0
178,190,190,2/22/2016 17:01,b RT If was in the,nuetral,0
198,210,210,2/22/2016 16:30,b RT If was in the,nuetral,0
205,217,217,2/22/2016 16:16,b RT If was in the,nuetral,0
206,218,218,2/22/2016 16:15,b RT If was in the,nuetral,0
207,219,219,2/22/2016 16:15,b RT If was in the,nuetral,0
208,220,220,2/22/2016 16:14,b RT If was in the,nuetral,0
209,221,221,2/22/2016 16:14,b RT If was in the,nuetral,0
210,222,222,2/22/2016 16:13,b RT If was in the,nuetral,0
555,567,567,2/22/2016 1:24,b RT Join us live at 9 tonight as we discuss Deadpool amp much more,nuetral,0
551,563,563,2/22/2016 1:31,b RT NEW Video Review,nuetral,0
54,66,66,2/22/2016 20:52,b RT Omg I m sorry and I m so confuse is sexist if I hit you or is sexist if I don t hit you the line is pretty blur n xe2 x80 xa6,nuetral,0
55,67,67,2/22/2016 20:50,b RT Omg I m sorry and I m so confuse is sexist if I hit you or is sexist if I don t hit you the line is pretty blur n xe2 x80 xa6,nuetral,0
89,101,101,2/22/2016 19:41,b RT Portrait Deadpool Ryan Reynolds ht xe2 x80 xa6,nuetral,0
457,469,469,2/22/2016 4:23,b RT Raff Deadpool mashup http xe2 x80 xa6,nuetral,0
460,472,472,2/22/2016 4:22,b RT Raff Deadpool mashup http xe2 x80 xa6,nuetral,0
575,587,587,2/22/2016 0:20,b RT Raff Deadpool mashup http xe2 x80 xa6,nuetral,0
576,588,588,2/22/2016 0:18,b RT Raff Deadpool mashup http xe2 x80 xa6,nuetral,0
431,443,443,2/22/2016 6:51,b RT Realm Checkout our hottest Deadpool T shirt Design,nuetral,0
528,540,540,2/22/2016 2:38,b RT Seen the How would you describe it in one word Go,nuetral,0
27,39,39,2/22/2016 22:51,b RT Snow spoilers https xe2 x80 xa6,nuetral,0
57,69,69,2/22/2016 20:47,b RT Snow spoilers https xe2 x80 xa6,nuetral,0
59,71,71,2/22/2016 20:40,b RT Snow spoilers https xe2 x80 xa6,nuetral,0
61,73,73,2/22/2016 20:32,b RT Snow spoilers https xe2 x80 xa6,nuetral,0
70,82,82,2/22/2016 20:09,b RT Snow spoilers https xe2 x80 xa6,nuetral,0
79,91,91,2/22/2016 19:52,b RT Snow spoilers https xe2 x80 xa6,nuetral,0
81,93,93,2/22/2016 19:50,b RT Snow spoilers https xe2 x80 xa6,nuetral,0
122,134,134,2/22/2016 18:45,b RT Take your Kids to see I saw The Woods Blade amp watch the Simpsons South Park when I was a kid,nuetral,0
312,324,324,2/22/2016 13:37,b RT Tex Chimichanga Motherfuckers Deadpool Rese xc3 xb1a Update Fixed https xe2 x80 xa6,nuetral,0
313,325,325,2/22/2016 13:35,b RT Tex Chimichanga Motherfuckers Deadpool Rese xc3 xb1a Update Fixed https xe2 x80 xa6,nuetral,0
20,32,32,2/22/2016 23:04,b RT The came today This is the stuff we to fans xf0 x9f x98 x9b https xe2 x80 xa6,nuetral,0
1,13,13,2/22/2016 23:56,b RT The PG version of,nuetral,0
18,30,30,2/22/2016 23:05,b RT The PG version of,nuetral,0
32,44,44,2/22/2016 22:27,b RT The PG version of,nuetral,0
37,49,49,2/22/2016 21:47,b RT The PG version of,nuetral,0
41,53,53,2/22/2016 21:33,b RT The PG version of,nuetral,0
43,55,55,2/22/2016 21:28,b RT The PG version of,nuetral,0
45,57,57,2/22/2016 21:24,b RT The PG version of,nuetral,0
46,58,58,2/22/2016 21:19,b RT The PG version of,nuetral,0
48,60,60,2/22/2016 21:09,b RT The PG version of,nuetral,0
49,61,61,2/22/2016 21:09,b RT The PG version of,nuetral,0
583,595,595,2/22/2016 0:04,b RT This week we talk about the future of R rated movies and retirement from the ring xe2 x80 xa6,nuetral,0
350,362,362,2/22/2016 11:28,b RT To all parents who want to see Deadpool movie with their kids n n,nuetral,0
2,14,14,2/22/2016 23:51,b RT To be fair Colossus did try to get him to keep it PG around Negasonic Teenage Warhead,nuetral,0
95,107,107,2/22/2016 19:28,b RT To be fair Colossus did try to get him to keep it PG around Negasonic Teenage Warhead,nuetral,0
297,309,309,2/22/2016 13:59,b RT To be fair Colossus did try to get him to keep it PG around Negasonic Teenage Warhead,nuetral,0
317,329,329,2/22/2016 13:25,b RT To be fair Colossus did try to get him to keep it PG around Negasonic Teenage Warhead,nuetral,0
344,356,356,2/22/2016 11:50,b RT To be fair Colossus did try to get him to keep it PG around Negasonic Teenage Warhead,nuetral,0
357,369,369,2/22/2016 10:57,b RT To be fair Colossus did try to get him to keep it PG around Negasonic Teenage Warhead,nuetral,0
363,375,375,2/22/2016 10:38,b RT To be fair Colossus did try to get him to keep it PG around Negasonic Teenage Warhead,nuetral,0
379,391,391,2/22/2016 9:43,b RT To be fair Colossus did try to get him to keep it PG around Negasonic Teenage Warhead,nuetral,0
381,393,393,2/22/2016 9:33,b RT To be fair Colossus did try to get him to keep it PG around Negasonic Teenage Warhead,nuetral,0
402,414,414,2/22/2016 8:10,b RT To be fair Colossus did try to get him to keep it PG around Negasonic Teenage Warhead,nuetral,0
418,430,430,2/22/2016 7:31,b RT To be fair Colossus did try to get him to keep it PG around Negasonic Teenage Warhead,nuetral,0
419,431,431,2/22/2016 7:31,b RT To be fair Colossus did try to get him to keep it PG around Negasonic Teenage Warhead,nuetral,0
423,435,435,2/22/2016 7:14,b RT To be fair Colossus did try to get him to keep it PG around Negasonic Teenage Warhead,nuetral,0
424,436,436,2/22/2016 7:08,b RT To be fair Colossus did try to get him to keep it PG around Negasonic Teenage Warhead,nuetral,0
439,451,451,2/22/2016 5:55,b RT To be fair Colossus did try to get him to keep it PG around Negasonic Teenage Warhead,nuetral,0
440,452,452,2/22/2016 5:49,b RT To be fair Colossus did try to get him to keep it PG around Negasonic Teenage Warhead,nuetral,0
441,453,453,2/22/2016 5:34,b RT To be fair Colossus did try to get him to keep it PG around Negasonic Teenage Warhead,nuetral,0
444,456,456,2/22/2016 5:27,b RT To be fair Colossus did try to get him to keep it PG around Negasonic Teenage Warhead,nuetral,0
449,461,461,2/22/2016 4:54,b RT To be fair Colossus did try to get him to keep it PG around Negasonic Teenage Warhead,nuetral,0
450,462,462,2/22/2016 4:50,b RT To be fair Colossus did try to get him to keep it PG around Negasonic Teenage Warhead,nuetral,0
451,463,463,2/22/2016 4:48,b RT To be fair Colossus did try to get him to keep it PG around Negasonic Teenage Warhead,nuetral,0
454,466,466,2/22/2016 4:31,b RT To be fair Colossus did try to get him to keep it PG around Negasonic Teenage Warhead,nuetral,0
456,468,468,2/22/2016 4:25,b RT To be fair Colossus did try to get him to keep it PG around Negasonic Teenage Warhead,nuetral,0
459,471,471,2/22/2016 4:22,b RT To be fair Colossus did try to get him to keep it PG around Negasonic Teenage Warhead,nuetral,0
463,475,475,2/22/2016 4:18,b RT To be fair Colossus did try to get him to keep it PG around Negasonic Teenage Warhead,nuetral,0
465,477,477,2/22/2016 4:16,b RT To be fair Colossus did try to get him to keep it PG around Negasonic Teenage Warhead,nuetral,0
468,480,480,2/22/2016 4:12,b RT To be fair Colossus did try to get him to keep it PG around Negasonic Teenage Warhead,nuetral,0
470,482,482,2/22/2016 4:11,b RT To be fair Colossus did try to get him to keep it PG around Negasonic Teenage Warhead,nuetral,0
472,484,484,2/22/2016 4:10,b RT To be fair Colossus did try to get him to keep it PG around Negasonic Teenage Warhead,nuetral,0
473,485,485,2/22/2016 4:06,b RT To be fair Colossus did try to get him to keep it PG around Negasonic Teenage Warhead,nuetral,0
474,486,486,2/22/2016 4:04,b RT To be fair Colossus did try to get him to keep it PG around Negasonic Teenage Warhead,nuetral,0
475,487,487,2/22/2016 4:02,b RT To be fair Colossus did try to get him to keep it PG around Negasonic Teenage Warhead,nuetral,0
476,488,488,2/22/2016 4:01,b RT To be fair Colossus did try to get him to keep it PG around Negasonic Teenage Warhead,nuetral,0
477,489,489,2/22/2016 3:58,b RT To be fair Colossus did try to get him to keep it PG around Negasonic Teenage Warhead,nuetral,0
479,491,491,2/22/2016 3:58,b RT To be fair Colossus did try to get him to keep it PG around Negasonic Teenage Warhead,nuetral,0
481,493,493,2/22/2016 3:58,b RT To be fair Colossus did try to get him to keep it PG around Negasonic Teenage Warhead,nuetral,0
482,494,494,2/22/2016 3:54,b RT To be fair Colossus did try to get him to keep it PG around Negasonic Teenage Warhead,nuetral,0
483,495,495,2/22/2016 3:54,b RT To be fair Colossus did try to get him to keep it PG around Negasonic Teenage Warhead,nuetral,0
484,496,496,2/22/2016 3:54,b RT To be fair Colossus did try to get him to keep it PG around Negasonic Teenage Warhead,nuetral,0
485,497,497,2/22/2016 3:54,b RT To be fair Colossus did try to get him to keep it PG around Negasonic Teenage Warhead,nuetral,0
486,498,498,2/22/2016 3:52,b RT To be fair Colossus did try to get him to keep it PG around Negasonic Teenage Warhead,nuetral,0
487,499,499,2/22/2016 3:52,b RT To be fair Colossus did try to get him to keep it PG around Negasonic Teenage Warhead,nuetral,0
488,500,500,2/22/2016 3:51,b RT To be fair Colossus did try to get him to keep it PG around Negasonic Teenage Warhead,nuetral,0
489,501,501,2/22/2016 3:51,b RT To be fair Colossus did try to get him to keep it PG around Negasonic Teenage Warhead,nuetral,0
490,502,502,2/22/2016 3:50,b RT To be fair Colossus did try to get him to keep it PG around Negasonic Teenage Warhead,nuetral,0
491,503,503,2/22/2016 3:50,b RT To be fair Colossus did try to get him to keep it PG around Negasonic Teenage Warhead,nuetral,0
53,65,65,2/22/2016 21:02,b RT W how you know that she s here nW because i m constantly stalking her fucks n,nuetral,0
157,169,169,2/22/2016 17:15,b RT w stunt doubles AngelDust amp Negasonic,nuetral,0
96,108,108,2/22/2016 19:26,b RT week for us check out this PS4 custom controller n n htt xe2 x80 xa6,nuetral,0
142,154,154,2/22/2016 17:38,b RT week for us check out this PS4 custom controller n n htt xe2 x80 xa6,nuetral,0
150,162,162,2/22/2016 17:32,b RT week for us check out this PS4 custom controller n n htt xe2 x80 xa6,nuetral,0
0,12,12,2/23/2016 0:00,b RT what do you think,nuetral,0
550,562,562,2/22/2016 1:31,b RT Workin on my Review,nuetral,0
279,291,291,2/22/2016 14:11,b RT Writers Don t Want A Bigger Budget For The Sequel,nuetral,0
123,135,135,2/22/2016 18:44,b RT xf0 x9f x98 x82 If you ve seen you ll get this,nuetral,0
286,298,298,2/22/2016 14:09,b Watch Junkie XL Talks Making The Soundtrack,nuetral,3
262,274,274,2/22/2016 14:44,b we re not alone,nuetral,1
219,231,231,2/22/2016 16:02,b week for us check out this PS4 custom controller n n,nuetral,22
301,313,313,2/22/2016 13:57,b What s my name xf0 x9f x98 x82,nuetral,5
556,568,568,2/22/2016 1:23,b 20 Facts About That Will Make You Look Like an Expert n n,pos,1
517,529,529,2/22/2016 3:43,b 3 Geeks Podcast Episode 23 Deadpool Spoiler Discussion,pos,4
394,406,406,2/22/2016 8:41,b A possible,pos,1
152,164,164,2/22/2016 17:29,b after a nice family movie called Perfect n,pos,5
535,547,547,2/22/2016 2:28,b and Lets do another movie,pos,4
561,573,573,2/22/2016 1:02,b Anyone else just shudder when they see New Day after seeing n,pos,2
480,492,492,2/22/2016 3:58,b Anyone see yet,pos,6
171,183,183,2/22/2016 17:06,b are ready,pos,3
127,139,139,2/22/2016 18:34,b Aw yeah,pos,17
540,552,552,2/22/2016 2:02,b Awesome weekend with good food and a dope movie s,pos,1
404,416,416,2/22/2016 8:05,b Check out my review RT BlogRT,pos,1
328,340,340,2/22/2016 12:48,b Chimichanga Motherfuckers Deadpool Rese xc3 xb1a Update Fixed,pos,1
534,546,546,2/22/2016 2:31,b COOOOOOL best film this year so far xf0 x9f x92 x80 xf0 x9f x92 xa9L,pos,2
559,571,571,2/22/2016 1:07,b Deadpool Closes In On 500 Million n n n,pos,15
542,554,554,2/22/2016 2:00,b Deadpool dominates again with 55 million in 2nd week,pos,1
177,189,189,2/22/2016 17:03,b Deadpool is already available for pre order at Amazon AND it s 43 off Done,pos,3
189,201,201,2/22/2016 16:40,b Deadpool is the President we all want but Trump s the President we deserve Bring on the Zombie Apocalypse,pos,2
434,446,446,2/22/2016 6:27,b Deadpool Remains No 1 at the Box Office for Second Weekend,pos,2
335,347,347,2/22/2016 12:25,b Deadpool Review Enjoy n n,pos,1
116,128,128,2/22/2016 18:58,b DEADPOOL T SHIRT,pos,1
72,84,84,2/22/2016 20:04,b Debating if I should watch again n nHahaha There was no debate silly It s on like Donkey Kong dot com,pos,4
414,426,426,2/22/2016 7:37,b Did anyone wear a top to go see the Got my awesome mashup tee from xf0 x9f x92 x80 xf0 x9f x92 xa9,pos,24
6,18,18,2/22/2016 23:32,b Eyes as read as Deadpool himself,pos,2
25,37,37,2/22/2016 22:57,b featured the best single shot in a movie since the Matrix amp was a helluva lot funnier,pos,3
28,40,40,2/22/2016 22:47,b Finally completed Actually enjoyed it more than,pos,1
237,249,249,2/22/2016 15:22,b Good morning nerds Theres a new episode up of for you Remember to like review and share,pos,2
245,257,257,2/22/2016 15:13,b Hi I looked well Amazing hahahah and you are a good actor xf0 x9f x98 x89 xf0 x9f x92 x99 xf0 x9f x92 x99 xf0 x9f x92 x99,pos,1
268,280,280,2/22/2016 14:40,b How Deadpool The Movie Executed Digital Marketing to Perfection,pos,0
545,557,557,2/22/2016 1:50,b I feel like I m going to hell for laughing at 99 of the jokes in but it was so good I don t even care,pos,9
320,332,332,2/22/2016 13:14,b I ll tell you why you should go see in my entertainment update next on,pos,0
422,434,434,2/22/2016 7:16,b I only have 12 bullets left so you guys are gonna have to share let s count em down,pos,8
343,355,355,2/22/2016 12:03,b I ve just seen and its a fuckin n n I could not stop laughing XD,pos,1
341,353,353,2/22/2016 12:14,b ICYMI my review of,pos,3
93,105,105,2/22/2016 19:30,b If you haven t seen Deadpool yet then go fucking watch it Seriously it s awesome as hell,pos,0
274,286,286,2/22/2016 14:20,b is just superb must have been a riot writing this script take on,pos,19
410,422,422,2/22/2016 7:45,b is shameless and f ucking fantastic Look I m a teenage girl I d rather be anywhere other than here,pos,2
47,59,59,2/22/2016 21:14,b is the best of all time n n xe2 x80 xa6,pos,1
571,583,583,2/22/2016 0:26,b Join us live at 9 tonight as we discuss Deadpool amp much more,pos,0
584,596,596,2/22/2016 0:04,b Just watched and loved it Can t wait for sequel,pos,0
574,586,586,2/22/2016 0:22,b man i have a lot of catching up to do here s something for today celebrating the release of,pos,6
129,141,141,2/22/2016 18:27,b Mmm I m so touching myself tonight,pos,3
88,100,100,2/22/2016 19:45,b nHappy Monday,pos,2
362,374,374,2/22/2016 10:42,b Off to see again xxx,pos,23
346,358,358,2/22/2016 11:46,b Oh and did I not mention that the was awesome xf0 x9f x91 x8a xf0 x9f x98 xa9,pos,2
56,68,68,2/22/2016 20:47,b Omg I m sorry and I m so confuse is sexist if I hit you or is sexist if I don t hit you the line is pretty blur n,pos,0
23,35,35,2/22/2016 23:00,b One more thing about I liked and think other mask wearing heroes like should emulate Animations around the eyes,pos,3
520,532,532,2/22/2016 3:08,b One of the best superhero movie today,pos,0
253,265,265,2/22/2016 15:02,b Popcorn time film expert David 3 3 45pm,pos,3
527,539,539,2/22/2016 2:44,b Productive class adding to my Spider man vs Deadpool copy n xe2 x80 xa6,pos,1
386,398,398,2/22/2016 9:25,b RT 2 2 even more important Hollywood not every comic movie needs to imitate get the character and story right a xe2 x80 xa6,pos,0
554,566,566,2/22/2016 1:25,b RT 20 Facts About That Will Make You Look Like an Expert n n,pos,0
366,378,378,2/22/2016 10:18,b RT A possible,pos,0
151,163,163,2/22/2016 17:31,b RT after a nice family movie called Perfect n,pos,0
229,241,241,2/22/2016 15:37,b RT aka Blind Al is LEGENDARY 1st Black woman to have a variety show https xe2 x80 xa6,pos,0
33,45,45,2/22/2016 22:19,b RT ALL easter eggs Spider Man amp Green Lantern references post credits xe2 x80 xa6,pos,0
531,543,543,2/22/2016 2:34,b RT and Lets do another movie htt xe2 x80 xa6,pos,0
532,544,544,2/22/2016 2:32,b RT and Lets do another movie htt xe2 x80 xa6,pos,0
533,545,545,2/22/2016 2:31,b RT and Lets do another movie htt xe2 x80 xa6,pos,0
560,572,572,2/22/2016 1:06,b RT Anyone else just shudder when they see New Day after seeing n,pos,0
467,479,479,2/22/2016 4:14,b RT Anyone see yet,pos,0
170,182,182,2/22/2016 17:07,b RT are ready,pos,0
126,138,138,2/22/2016 18:35,b RT Aw yeah,pos,0
453,465,465,2/22/2016 4:35,b RT Awesome xf0 x9f x91 x8d xf0 x9f x8f xbb,pos,0
5,17,17,2/22/2016 23:33,b RT Beanstalk Eyes as read as Deadpool himself xe2 x80 xa6,pos,0
372,384,384,2/22/2016 10:02,b RT Can t get enough of the Read the original comic on Scribd,pos,0
565,577,577,2/22/2016 0:50,b RT Captain xf0 x9f x92 x80 xf0 x9f x92 xa9L nI m touching myself tonight,pos,0
251,263,263,2/22/2016 15:02,b RT Check out Deadpool movie review,pos,0
400,412,412,2/22/2016 8:24,b RT Check out my review RT BlogRT xe2 x80 xa6,pos,0
581,593,593,2/22/2016 0:06,b RT Check out our newest ep all about and Highest Grossing R Rated Flicks xe2 x80 xa6,pos,0
530,542,542,2/22/2016 2:36,b RT COOOOOOL best film this year so far xf0 x9f x92 x80 xf0 x9f x92 xa9L,pos,0
255,267,267,2/22/2016 14:58,b RT dajanter playing with himself caught on camera,pos,0
180,192,192,2/22/2016 16:56,b RT Deadpool Closes In On 500 Million n n n,pos,0
541,553,553,2/22/2016 2:00,b RT Deadpool dominates again with 55 million in 2nd week,pos,0
42,54,54,2/22/2016 21:29,b RT Deadpool is bloody hilarious Great laugh You must watch it for bants,pos,0
154,166,166,2/22/2016 17:22,b RT Deadpool is the President we all want but Trump s the President we deserve Bring on the Zombie Apocalypse xe2 x80 xa6,pos,0
425,437,437,2/22/2016 7:05,b RT Deadpool Remains No 1 at the Box Office for Second Weekend,pos,0
333,345,345,2/22/2016 12:26,b RT Deadpool Review Enjoy n n,pos,0
36,48,48,2/22/2016 22:02,b RT Debating if I should watch again n nHahaha There was no debate silly It s on like Donkey Kong dot com htt xe2 x80 xa6,pos,0
